objectID,FrameDetected,wrongRate,RateHigherThan80%Frame,
E:\updatebackground\10daysResult.csv.xlsx,,,,
E:\updatebackground\objectoutput2022-4-25-10-0-0.csv,,,,
916,8,0.333333,0,0.333333
918,87,0.5,0,0.125
921,43,0.222222,0,0.142857
927,24,0,0,1
928,59,0,0,1
933,26,0,0,1
938,74,0.285714,0,0.285714
942,12,0,0,1
946,51,0,0,1
949,40,0,0,1
950,7,0.428571,0,0.333333
954,46,0,0,1
957,27,0,0,1
959,7,0,0,1
962,8,0.375,0,0.166667
971,27,0,0,1
972,57,0.0701754,0,0.0188679
979,35,0,0,1
980,53,0.132075,0,0.037037
984,17,0,0,1
987,55,0,0,1
992,37,0.428571,0,0.428571
993,161,0.0807453,0,0.00675676
994,52,0,0,1
995,171,0.0701754,0,0.00645161
999,21,0.190476,0,0.0588235
1003,18,0.666667,0,0.25
1005,7,1,2,1
1007,134,0.933333,6,0.833333
1009,9,0.777778,0,0.666667
1010,49,0,0,1
1014,10,0,0,1
1015,72,0,0,1
1024,13,0,0,1
1027,52,0,0,1
1031,19,0,0,1
1037,67,0.0447761,0,0.015625
1038,19,0,0,1
1040,19,0,0,1
1041,10,0.2,0,0.142857
1043,26,0,0,1
1051,55,0.333333,0,0.3
1054,80,0,0,1
1058,108,0.037037,0,0.00952381
1068,30,0,0,1
1071,35,0,0,1
1072,54,0.0377358,0,0.0192308
1074,32,0,0,1
1087,15,0,0,1
1093,43,0,0,1
1095,31,0,0,1
1099,11,0.818182,0,0.666667
1100,8,0,0,1
1105,24,0,0,1
1109,65,0,0,1
1111,87,0,0,1
1131,38,0,0,1
1135,7,0,0,1
1137,18,0,0,1
1140,8,0,0,1
1141,64,0.1875,0,0.0196078
1147,46,0,0,1
1151,24,0,0,1
1152,23,0,0,1
1154,34,0,0,1
1160,147,0.213483,0,0.0540541
1167,74,0,0,1
1169,8,0,0,1
1175,62,0.0327869,0,0.0166667
1180,33,0,0,1
1187,7,0.142857,0,0.142857
1189,71,0,0,1
1197,35,0,0,1
1200,6,0,0,1
1202,95,0.875,0,0.666667
1203,10,0.9,1,0.833333
1205,28,0,0,1
1206,8,0,0,1
1213,11,0.777778,0,0.714286
1215,7,0.857143,0,0.833333
1220,6,0,0,1
1222,8,0,0,1
1224,10,0,0,1
1225,6,0,0,1
1227,32,0,0,1
1234,13,0.583333,0,0.375
1235,6,0.5,0,0.5
1238,60,0.0666667,0,0.0178571
1240,40,0,0,1
1249,21,0,0,1
1257,50,0,0,1
1264,38,0,0,1
1268,38,0,0,1
E:\updatebackground\objectoutput2022-4-25-11-0-0.csv,,,,
1284,73,0.0410959,0,0.0142857
1292,38,0.333333,0,0.333333
1294,28,0.0357143,0,0.0357143
1300,19,0,0,1
1307,50,0.333333,0,0.0681818
1308,107,0.777778,0,0.464286
1311,70,0.0428571,0,0.0151515
1313,8,0.5,0,0.5
1320,16,0,0,1
1326,52,0.111111,0,0.0714286
1328,77,0.0779221,0,0.0277778
1333,34,0.333333,0,0.117647
1334,116,0,0,1
1341,19,0.842105,0,0.625
1347,79,0,0,1
1353,56,0.0909091,0,0.0208333
1360,10,1,5,1
1385,11,0,0,1
1397,15,1,10,1
1401,65,0.8,0,0.625
1402,10,0.7,0,0.571429
1410,31,0.0322581,0,0.0322581
1422,142,1,137,1
1429,18,1,13,1
1431,268,0.996269,259,0.833333
1435,6,1,1,1
1437,63,0.0491803,0,0.0491803
1447,36,0.428571,0,0.333333
1454,41,0.292683,0,0.0454545
1463,63,0.190476,0,0.0196078
1473,14,0,0,1
1477,34,0,0,1
1480,123,0.0406504,0,0.00854701
1482,7,0.571429,0,0.5
1485,8,0.5,0,0.333333
1490,10,0.75,0,0.666667
1491,7,0.333333,0,0.333333
1492,46,0,0,1
1496,79,0.0379747,0,0.0136986
1499,60,0.75,0,0.12069
1500,47,0,0,1
1507,30,0.571429,0,0.555556
1513,39,0,0,1
1515,59,0.5,0,0.444444
1520,21,0.047619,0,0.047619
1522,63,0.0483871,0,0.0327869
1523,73,0.0277778,0,0.0140845
1524,13,0,0,1
1554,54,0.0740741,0,0.0232558
1555,292,0.116438,0,0.00392157
1556,375,0.857143,0,0.2
1557,58,0.0862069,0,0.02
1559,72,0.125,0,0.015625
1560,7,0.285714,0,0.285714
1562,7,0,0,1
1566,13,0,0,1
1575,96,0,0,1
1582,73,0.0555556,0,0.0149254
1586,22,1,17,1
1588,89,0.5,0,0.0588235
1589,22,1,17,1
1592,64,0.109375,0,0.0350877
1594,6,1,1,1
1596,6,0.833333,0,0.833333
1599,75,1,17,0.673913
1600,30,0.1,0,0.04
1609,12,0.416667,0,0.125
1610,53,0.113208,0,0.0232558
1612,24,0,0,1
1615,45,0,0,1
1620,31,0.0333333,0,0.0333333
1623,11,0,0,1
1624,6,0,0,1
1625,33,0.0625,0,0.0357143
1628,9,0.444444,0,0.285714
1631,62,0.177419,0,0.02
1633,40,0.333333,0,0.0789474
1636,62,0.0483871,0,0.0169492
1637,46,0.357143,0,0.222222
1640,30,0,0,1
1641,49,0.166667,0,0.0263158
1646,42,0.27027,0,0.0434783
1655,15,0,0,1
1657,73,1,31,0.542857
1658,86,0.230769,0,0.222222
