objectID,FrameDetected,wrongRate,RateHigherThan80%Frame
E:\updatebackground\10daysResult.csv.xlsx
E:\updatebackground\objectoutput2022-4-25-10-0-0.csv
734,0,7,0.857143,0,0.833333
736,0,6,0.666667,0,0.666667
737,0,8,0.625,0,0.5
742,0,8,0.875,0,0.833333
746,0,51,0,0,1
750,0,6,0,0,1
752,0,7,0.285714,0,0.166667
754,0,112,0.875,0,0.169643
757,0,28,0,0,1
758,0,61,0,0,1
764,0,48,0,0,1
765,0,7,0.714286,0,0.666667
772,0,36,0,0,1
776,0,7,0.142857,0,0.142857
779,7,54,0.518519,0,0.05
782,0,10,0.9,1,0.833333
784,0,7,0.428571,0,0.333333
788,0,45,0,0,1
789,0,6,0.333333,0,0.333333
791,0,7,0.714286,0,0.666667
792,0,10,0.375,0,0.285714
793,0,45,0,0,1
794,0,43,0,0,1
796,0,8,0,0,1
803,0,38,0,0,1
807,0,54,0,0,1
812,0,66,0.030303,0,0.015625
813,0,9,0.857143,0,0.833333
816,0,43,0,0,1
818,0,7,0.857143,0,0.833333
821,0,101,0.384615,0,0.25
823,0,26,0,0,1
826,0,32,0,0,1
828,0,22,0,0,1
830,5,15,0.733333,0,0.333333
833,0,19,0,0,1
841,0,42,0,0,1
848,0,42,0,0,1
849,0,13,0.333333,0,0.333333
852,0,32,0,0,1
856,0,8,0,0,1
859,0,9,0,0,1
865,0,111,0.153846,0,0.0285714
867,0,13,0.0909091,0,0.0909091
871,0,8,0,0,1
873,0,6,0.666667,0,0.666667
876,1,10,0.8,0,0.666667
880,0,8,1,3,1
882,0,39,0,0,1
886,0,51,0,0,1
887,0,139,0,0,1
889,0,6,0,0,1
891,0,27,0,0,1
896,0,61,0.625,0,0.571429
900,0,10,0,0,1
901,0,27,0,0,1
903,0,13,0,0,1
912,1,10,0.7,0,0.5
913,0,9,0.888889,0,0.833333
915,0,6,0.5,0,0.5
916,0,8,0.333333,0,0.333333
918,14,87,0.5,0,0.125
921,0,43,0.222222,0,0.142857
927,0,24,0,0,1
928,0,59,0,0,1
933,0,26,0,0,1
938,0,74,0.285714,0,0.285714
942,0,12,0,0,1
946,0,51,0,0,1
949,0,40,0,0,1
950,0,7,0.428571,0,0.333333
954,0,46,0,0,1
957,0,27,0,0,1
959,0,7,0,0,1
962,0,8,0.375,0,0.166667
971,0,27,0,0,1
972,0,57,0.0701754,0,0.0188679
979,0,35,0,0,1
980,0,53,0.132075,0,0.037037
984,0,17,0,0,1
987,0,55,0,0,1
992,0,37,0.428571,0,0.428571
993,5,161,0.0807453,0,0.00675676
994,0,52,0,0,1
995,4,171,0.0701754,0,0.00645161
999,0,21,0.190476,0,0.0588235
1003,6,18,0.666667,0,0.25
1005,2,7,1,2,1
1007,7,134,0.933333,6,0.833333
1009,0,9,0.777778,0,0.666667
